effective_date,action,ticker,new_ticker,note,source
2017-12-18,remove,VIAB,,annual reconstitution 2017,PR
2018-02-27,rename,PCLN,BKNG,Priceline renamed Booking Holdings,secondary
2018-07-23,add,PEP,,replaced DISH,PR
2018-07-23,remove,DISH,,replaced by PEP,PR
2018-11-05,add,NXPI,,replaced CA (re-added after Qualcomm deal abandoned),PR
2018-11-05,remove,CA,,CA Inc acquired by Broadcom,PR
2018-11-19,add,XEL,,replaced XRAY,PR
2018-11-19,remove,XRAY,,replaced by XEL,PR
2018-12-24,add,AMD,,annual reconstitution 2018,PR
2018-12-24,add,LULU,,annual reconstitution 2018,PR
2018-12-24,add,NTAP,,annual reconstitution 2018,PR
2018-12-24,add,UAL,,annual reconstitution 2018,PR
2018-12-24,add,VRSN,,annual reconstitution 2018,PR
2018-12-24,add,WLTW,,annual reconstitution 2018,PR
2018-12-24,remove,ESRX,,annual reconstitution 2018 (Cigna acquisition),PR
2018-12-24,remove,HOLX,,annual reconstitution 2018,PR
2018-12-24,remove,QRTEA,,annual reconstitution 2018,PR
2018-12-24,remove,SHPG,,annual reconstitution 2018 (Takeda acquisition),PR
2018-12-24,remove,STX,,annual reconstitution 2018,PR
2018-12-24,remove,VOD,,annual reconstitution 2018,PR
2019-11-04,rename,SYMC,NLOK,Symantec renamed NortonLifeLock after Broadcom enterprise deal,secondary
2019-11-05,rename,CTRP,TCOM,Ctrip renamed Trip.com Group (approx date),secondary
2019-11-21,add,EXC,,replaced CELG,PR
2019-11-21,remove,CELG,,Celgene acquired by Bristol-Myers Squibb,PR
2019-12-23,add,ANSS,,annual reconstitution 2019,PR
2019-12-23,add,CDW,,annual reconstitution 2019,PR
2019-12-23,add,CPRT,,annual reconstitution 2019,PR
2019-12-23,add,CSGP,,annual reconstitution 2019,PR
2019-12-23,add,SGEN,,annual reconstitution 2019,PR
2019-12-23,add,SPLK,,annual reconstitution 2019,PR
2019-12-23,remove,HAS,,annual reconstitution 2019,PR
2019-12-23,remove,HSIC,,annual reconstitution 2019,PR
2019-12-23,remove,JBHT,,annual reconstitution 2019,PR
2019-12-23,remove,MYL,,annual reconstitution 2019,PR
2019-12-23,remove,NLOK,,annual reconstitution 2019,PR
2019-12-23,remove,WYNN,,annual reconstitution 2019,PR
2020-04-20,add,DXCM,,replaced AAL,PR
2020-04-20,remove,AAL,,American Airlines removed,PR
2020-04-30,add,ZM,,replaced WLTW,PR
2020-04-30,remove,WLTW,,Willis Towers Watson removed,PR
2020-06-22,add,DOCU,,replaced UAL,PR
2020-06-22,remove,UAL,,United Airlines removed,PR
2020-07-20,add,MRNA,,replaced CSGP,PR
2020-07-20,remove,CSGP,,CoStar removed,PR
2020-08-24,add,PDD,,replaced NTAP,PR
2020-08-24,remove,NTAP,,NetApp removed,PR
2020-10-19,add,KDP,,replaced WDC,PR
2020-10-19,remove,WDC,,Western Digital removed,PR
2020-12-21,add,AEP,,annual reconstitution 2020,PR
2020-12-21,add,MRVL,,annual reconstitution 2020,PR
2020-12-21,add,MTCH,,annual reconstitution 2020,PR
2020-12-21,add,OKTA,,annual reconstitution 2020,PR
2020-12-21,add,PTON,,annual reconstitution 2020,PR
2020-12-21,add,TEAM,,annual reconstitution 2020,PR
2020-12-21,remove,BMRN,,annual reconstitution 2020,PR
2020-12-21,remove,CTXS,,annual reconstitution 2020,PR
2020-12-21,remove,EXPE,,annual reconstitution 2020,PR
2020-12-21,remove,LBTYA,,annual reconstitution 2020 (Liberty Global all classes),PR
2020-12-21,remove,TTWO,,annual reconstitution 2020,PR
2020-12-21,remove,ULTA,,annual reconstitution 2020,PR
2021-07-21,add,HON,,replaced ALXN,PR
2021-07-21,remove,ALXN,,Alexion acquired by AstraZeneca,PR
2021-08-26,add,CRWD,,replaced MXIM,PR
2021-08-26,remove,MXIM,,Maxim acquired by Analog Devices,PR
2021-12-20,add,ABNB,,annual reconstitution 2021,PR
2021-12-20,add,DDOG,,annual reconstitution 2021,PR
2021-12-20,add,FTNT,,annual reconstitution 2021,PR
2021-12-20,add,LCID,,annual reconstitution 2021,PR
2021-12-20,add,PANW,,annual reconstitution 2021,PR
2021-12-20,add,ZS,,annual reconstitution 2021,PR
2021-12-20,remove,CDW,,annual reconstitution 2021,PR
2021-12-20,remove,CERN,,annual reconstitution 2021,PR
2021-12-20,remove,CHKP,,annual reconstitution 2021,PR
2021-12-20,remove,FOXA,,annual reconstitution 2021 (FOX+FOXA company-level),PR
2021-12-20,remove,INCY,,annual reconstitution 2021,PR
2021-12-20,remove,TCOM,,annual reconstitution 2021,PR
2022-01-24,add,ODFL,,replaced PTON,PR
2022-01-24,remove,PTON,,Peloton removed,PR
2022-02-02,add,CEG,,Constellation Energy added after Exelon spinoff (unpaired),PR
2022-02-22,add,AZN,,replaced XLNX,PR
2022-02-22,remove,XLNX,,Xilinx acquired by AMD,PR
2022-06-09,rename,FB,META,Meta Platforms ticker change,secondary
2022-11-21,add,ENPH,,replaced OKTA,PR
2022-11-21,remove,OKTA,,Okta removed,PR
2022-12-19,add,CSGP,,annual reconstitution 2022,PR
2022-12-19,add,RIVN,,annual reconstitution 2022,PR
2022-12-19,add,WBD,,annual reconstitution 2022 (fresh add; Discovery had been removed Dec 2017),PR
2022-12-19,add,GFS,,annual reconstitution 2022,PR
2022-12-19,add,BKR,,annual reconstitution 2022,PR
2022-12-19,add,FANG,,annual reconstitution 2022,PR
2022-12-19,remove,VRSN,,annual reconstitution 2022,PR
2022-12-19,remove,SWKS,,annual reconstitution 2022,PR
2022-12-19,remove,SPLK,,annual reconstitution 2022,PR
2022-12-19,remove,BIDU,,annual reconstitution 2022,PR
2022-12-19,remove,MTCH,,annual reconstitution 2022,PR
2022-12-19,remove,DOCU,,annual reconstitution 2022,PR
2022-12-19,remove,NTES,,annual reconstitution 2022,PR
2023-06-07,add,GEHC,,replaced FISV,PR
2023-06-07,remove,FISV,,Fiserv moved to NYSE,PR
2023-06-20,add,ON,,replaced RIVN,PR
2023-06-20,remove,RIVN,,Rivian removed,PR
2023-07-17,add,TTD,,replaced ATVI,PR
2023-07-17,remove,ATVI,,Activision Blizzard pending Microsoft acquisition,PR
2023-12-18,add,CCEP,,annual reconstitution 2023,PR
2023-12-18,add,CDW,,annual reconstitution 2023,PR
2023-12-18,add,DASH,,annual reconstitution 2023,PR
2023-12-18,add,MDB,,annual reconstitution 2023,PR
2023-12-18,add,ROP,,annual reconstitution 2023,PR
2023-12-18,add,SPLK,,annual reconstitution 2023,PR
2023-12-18,add,TTWO,,annual reconstitution 2023 update (replaced SGEN),PR
2023-12-18,remove,ALGN,,annual reconstitution 2023,PR
2023-12-18,remove,EBAY,,annual reconstitution 2023,PR
2023-12-18,remove,ENPH,,annual reconstitution 2023,PR
2023-12-18,remove,JD,,annual reconstitution 2023,PR
2023-12-18,remove,LCID,,annual reconstitution 2023,PR
2023-12-18,remove,ZM,,annual reconstitution 2023,PR
2023-12-18,remove,SGEN,,Seagen acquired by Pfizer (reconstitution update),PR
2024-03-18,add,LIN,,replaced SPLK (Linde first joined after Nasdaq listing transfer),PR
2024-03-18,remove,SPLK,,Splunk acquired by Cisco,PR
2024-06-24,add,ARM,,replaced SIRI,PR
2024-06-24,remove,SIRI,,Sirius XM removed,PR
2024-07-22,add,SMCI,,replaced WBA,PR
2024-07-22,remove,WBA,,Walgreens removed,PR
2024-11-18,add,APP,,replaced DLTR,PR
2024-11-18,remove,DLTR,,Dollar Tree removed,PR
2024-12-23,add,PLTR,,annual reconstitution 2024,PR
2024-12-23,add,MSTR,,annual reconstitution 2024,PR
2024-12-23,add,AXON,,annual reconstitution 2024,PR
2024-12-23,remove,ILMN,,annual reconstitution 2024,PR
2024-12-23,remove,SMCI,,annual reconstitution 2024,PR
2024-12-23,remove,MRNA,,annual reconstitution 2024,PR
2025-05-19,add,SHOP,,replaced MDB,PR
2025-05-19,remove,MDB,,MongoDB removed,PR
2025-07-28,add,TRI,,replaced ANSS,PR
2025-07-28,remove,ANSS,,Ansys acquired by Synopsys,PR
2025-12-22,add,ALNY,,annual reconstitution 2025,PR
2025-12-22,add,FER,,annual reconstitution 2025,PR
2025-12-22,add,INSM,,annual reconstitution 2025,PR
2025-12-22,add,MPWR,,annual reconstitution 2025,PR
2025-12-22,add,STX,,annual reconstitution 2025,PR
2025-12-22,add,WDC,,annual reconstitution 2025,PR
2025-12-22,remove,BIIB,,annual reconstitution 2025,PR
2025-12-22,remove,CDW,,annual reconstitution 2025,PR
2025-12-22,remove,GFS,,annual reconstitution 2025,PR
2025-12-22,remove,LULU,,annual reconstitution 2025,PR
2025-12-22,remove,ON,,annual reconstitution 2025,PR
2025-12-22,remove,TTD,,annual reconstitution 2025,PR
2026-04-20,add,SNDK,,replaced TEAM (new Sandisk; WDC spinoff 2025),PR
2026-04-20,remove,TEAM,,Atlassian removed,PR
2026-06-22,add,ALAB,,June 2026 quarterly changes,PR
2026-06-22,add,CRWV,,June 2026 quarterly changes,PR
2026-06-22,add,NBIS,,June 2026 quarterly changes,PR
2026-06-22,add,RKLB,,June 2026 quarterly changes,PR
2026-06-22,add,TER,,June 2026 quarterly changes,PR
2026-06-22,remove,CHTR,,June 2026 quarterly changes,PR
2026-06-22,remove,CTSH,,June 2026 quarterly changes,PR
2026-06-22,remove,INSM,,June 2026 quarterly changes,PR
2026-06-22,remove,VRSK,,June 2026 quarterly changes,PR
2026-06-22,remove,ZS,,June 2026 quarterly changes,PR
2026-07-07,add,SPCX,,SpaceX fast-entry addition (unpaired; index temporarily above 100),PR
